Date,Ticker,Sector,Open,High,Low,Close,Volume
2024-12-02,AAPL,Technology,237.27000427246094,240.7899932861328,237.16000366210938,239.58999633789062,48137100.0
2024-12-03,AAPL,Technology,239.80999755859375,242.75999450683594,238.89999389648438,242.64999389648438,38861000.0
2024-12-04,AAPL,Technology,242.8699951171875,244.11000061035156,241.25,243.00999450683594,44383900.0
2024-12-05,AAPL,Technology,243.99000549316406,244.5399932861328,242.1300048828125,243.0399932861328,40033900.0
2024-12-06,AAPL,Technology,242.91000366210938,244.6300048828125,242.0800018310547,242.83999633789062,36870600.0
2024-12-09,AAPL,Technology,241.8300018310547,247.24000549316406,241.75,246.75,44649200.0
2024-12-10,AAPL,Technology,246.88999938964844,248.2100067138672,245.33999633789062,247.77000427246094,36914800.0
2024-12-11,AAPL,Technology,247.9600067138672,250.8000030517578,246.25999450683594,246.49000549316406,45205800.0
2024-12-12,AAPL,Technology,246.88999938964844,248.74000549316406,245.67999267578125,247.9600067138672,32777500.0
2024-12-13,AAPL,Technology,247.82000732421875,249.2899932861328,246.24000549316406,248.1300048828125,33155300.0
2024-12-16,AAPL,Technology,247.99000549316406,251.3800048828125,247.64999389648438,251.0399932861328,51694800.0
2024-12-17,AAPL,Technology,250.0800018310547,253.8300018310547,249.77999877929688,253.47999572753906,51356400.0
2024-12-18,AAPL,Technology,252.16000366210938,254.27999877929688,247.74000549316406,248.0500030517578,56774100.0
2024-12-19,AAPL,Technology,247.5,252.0,247.08999633789062,249.7899932861328,60882300.0
2024-12-20,AAPL,Technology,248.0399932861328,255.0,245.69000244140625,254.49000549316406,147495300.0
2024-12-23,AAPL,Technology,254.77000427246094,255.64999389648438,253.4499969482422,255.27000427246094,40858800.0
2024-12-24,AAPL,Technology,255.49000549316406,258.2099914550781,255.2899932861328,258.20001220703125,23234700.0
2024-12-26,AAPL,Technology,258.19000244140625,260.1000061035156,257.6300048828125,259.0199890136719,27237100.0
2024-12-27,AAPL,Technology,257.8299865722656,258.70001220703125,253.05999755859375,255.58999633789062,42355300.0
2024-12-30,AAPL,Technology,252.22999572753906,253.5,250.75,252.1999969482422,35557500.0
2024-12-31,AAPL,Technology,252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453,39480700.0
2024-12-02,MSFT,Technology,421.57000732421875,433.0,421.30999755859375,430.9800109863281,20207200.0
